outcome,score,model,estimate,est_error,l95,u95,prob_positive,outcome_label,score_label,model_label,includes_score,effect_direction,credibly_nonzero
n_chars,score_lgb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Score only,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Date + text type + score,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_lgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),LightGBM score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Score only,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Date + text type + score,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_nb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Naive Bayes score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Score only,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Date + text type + score,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_ridge_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),Ridge score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Score only,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Date + text type + score,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_svm_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),SVM score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Score only,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Date + text type + score,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_chars,score_xgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (characters),XGBoost score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Score only,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Date + text type + score,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Smooth date + text type + score,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_lgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),LightGBM score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Score only,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Date + text type + score,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Smooth date + text type + score,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_nb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Naive Bayes score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Score only,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Date + text type + score,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Smooth date + text type + score,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Prediction source + date + text type + score,TRUE,NA,FALSE
